,county,FIPS,killed_victims,year_option
0,alameda,06001,1800.0,all
1,alpine,06003,41.0,all
2,amador,06005,216.0,all
3,butte,06007,666.0,all
4,calaveras,06009,219.0,all
5,colusa,06011,169.0,all
6,contra costa,06013,1352.0,all
7,del norte,06015,169.0,all
8,el dorado,06017,498.0,all
9,fresno,06019,2821.0,all
10,glenn,06021,164.0,all
11,humboldt,06023,483.0,all
12,imperial,06025,726.0,all
13,inyo,06027,159.0,all
14,kern,06029,2956.0,all
15,kings,06031,567.0,all
16,lake,06033,312.0,all
17,lassen,06035,187.0,all
18,los angeles,06037,14103.0,all
19,madera,06039,675.0,all
20,marin,06041,212.0,all
21,mariposa,06043,92.0,all
22,mendocino,06045,438.0,all
23,merced,06047,1074.0,all
24,modoc,06049,60.0,all
25,mono,06051,90.0,all
26,monterey,06053,942.0,all
27,napa,06055,308.0,all
28,nevada,06057,274.0,all
29,orange,06059,3648.0,all
30,placer,06061,595.0,all
31,plumas,06063,118.0,all
32,riverside,06065,5456.0,all
33,sacramento,06067,2713.0,all
34,san benito,06069,174.0,all
35,san bernardino,06071,6215.0,all
36,san diego,06073,5135.0,all
37,san francisco,06075,730.0,all
38,san joaquin,06077,2090.0,all
39,san luis obispo,06079,687.0,all
40,san mateo,06081,736.0,all
41,santa barbara,06083,737.0,all
42,santa clara,06085,2054.0,all
43,santa cruz,06087,401.0,all
44,shasta,06089,590.0,all
45,sierra,06091,49.0,all
46,siskiyou,06093,217.0,all
47,solano,06095,791.0,all
48,sonoma,06097,871.0,all
49,stanislaus,06099,1410.0,all
50,sutter,06101,331.0,all
51,tehama,06103,297.0,all
52,trinity,06105,110.0,all
53,tulare,06107,1581.0,all
54,tuolumne,06109,260.0,all
55,ventura,06111,1252.0,all
56,yolo,06113,476.0,all
57,yuba,06115,291.0,all
58,alameda,06001,111.0,2001
59,alpine,06003,3.0,2001
60,amador,06005,7.0,2001
61,butte,06007,36.0,2001
62,calaveras,06009,14.0,2001
63,colusa,06011,5.0,2001
64,contra costa,06013,55.0,2001
65,del norte,06015,5.0,2001
66,el dorado,06017,22.0,2001
67,fresno,06019,147.0,2001
68,glenn,06021,11.0,2001
69,humboldt,06023,19.0,2001
70,imperial,06025,45.0,2001
71,inyo,06027,14.0,2001
72,kern,06029,141.0,2001
73,kings,06031,33.0,2001
74,lake,06033,10.0,2001
75,lassen,06035,10.0,2001
76,los angeles,06037,763.0,2001
77,madera,06039,45.0,2001
78,marin,06041,12.0,2001
79,mariposa,06043,4.0,2001
80,mendocino,06045,24.0,2001
81,merced,06047,72.0,2001
82,modoc,06049,3.0,2001
83,mono,06051,12.0,2001
84,monterey,06053,57.0,2001
85,napa,06055,16.0,2001
86,nevada,06057,14.0,2001
87,orange,06059,207.0,2001
88,placer,06061,32.0,2001
89,plumas,06063,7.0,2001
90,riverside,06065,258.0,2001
91,sacramento,06067,141.0,2001
92,san benito,06069,13.0,2001
93,san bernardino,06071,330.0,2001
94,san diego,06073,288.0,2001
95,san francisco,06075,40.0,2001
96,san joaquin,06077,116.0,2001
97,san luis obispo,06079,43.0,2001
98,san mateo,06081,33.0,2001
99,santa barbara,06083,37.0,2001
100,santa clara,06085,111.0,2001
101,santa cruz,06087,25.0,2001
102,shasta,06089,43.0,2001
103,sierra,06091,4.0,2001
104,siskiyou,06093,11.0,2001
105,solano,06095,41.0,2001
106,sonoma,06097,57.0,2001
107,stanislaus,06099,84.0,2001
108,sutter,06101,13.0,2001
109,tehama,06103,12.0,2001
110,trinity,06105,7.0,2001
111,tulare,06107,79.0,2001
112,tuolumne,06109,12.0,2001
113,ventura,06111,73.0,2001
114,yolo,06113,24.0,2001
115,yuba,06115,15.0,2001
116,alameda,06001,110.0,2002
117,alpine,06003,1.0,2002
118,amador,06005,14.0,2002
119,butte,06007,46.0,2002
120,calaveras,06009,5.0,2002
121,colusa,06011,9.0,2002
122,contra costa,06013,67.0,2002
123,del norte,06015,7.0,2002
124,el dorado,06017,29.0,2002
125,fresno,06019,183.0,2002
126,glenn,06021,9.0,2002
127,humboldt,06023,22.0,2002
128,imperial,06025,47.0,2002
129,inyo,06027,7.0,2002
130,kern,06029,161.0,2002
131,kings,06031,38.0,2002
132,lake,06033,24.0,2002
133,lassen,06035,13.0,2002
134,los angeles,06037,724.0,2002
135,madera,06039,31.0,2002
136,marin,06041,16.0,2002
137,mariposa,06043,10.0,2002
138,mendocino,06045,25.0,2002
139,merced,06047,62.0,2002
140,modoc,06049,3.0,2002
141,mono,06051,6.0,2002
142,monterey,06053,56.0,2002
143,napa,06055,19.0,2002
144,nevada,06057,17.0,2002
145,orange,06059,193.0,2002
146,placer,06061,47.0,2002
147,plumas,06063,13.0,2002
148,riverside,06065,309.0,2002
149,sacramento,06067,142.0,2002
150,san benito,06069,10.0,2002
151,san bernardino,06071,328.0,2002
152,san diego,06073,294.0,2002
153,san francisco,06075,40.0,2002
154,san joaquin,06077,158.0,2002
155,san luis obispo,06079,41.0,2002
156,san mateo,06081,45.0,2002
157,santa barbara,06083,33.0,2002
158,santa clara,06085,112.0,2002
159,santa cruz,06087,23.0,2002
160,shasta,06089,36.0,2002
161,sierra,06091,4.0,2002
162,siskiyou,06093,10.0,2002
163,solano,06095,37.0,2002
164,sonoma,06097,48.0,2002
165,stanislaus,06099,89.0,2002
166,sutter,06101,22.0,2002
167,tehama,06103,16.0,2002
168,trinity,06105,5.0,2002
169,tulare,06107,96.0,2002
170,tuolumne,06109,21.0,2002
171,ventura,06111,66.0,2002
172,yolo,06113,18.0,2002
173,yuba,06115,22.0,2002
174,alameda,06001,113.0,2003
175,alpine,06003,6.0,2003
176,amador,06005,11.0,2003
177,butte,06007,29.0,2003
178,calaveras,06009,16.0,2003
179,colusa,06011,7.0,2003
180,contra costa,06013,69.0,2003
181,del norte,06015,11.0,2003
182,el dorado,06017,31.0,2003
183,fresno,06019,208.0,2003
184,glenn,06021,10.0,2003
185,humboldt,06023,30.0,2003
186,imperial,06025,45.0,2003
187,inyo,06027,14.0,2003
188,kern,06029,171.0,2003
189,kings,06031,41.0,2003
190,lake,06033,17.0,2003
191,lassen,06035,13.0,2003
192,los angeles,06037,806.0,2003
193,madera,06039,44.0,2003
194,marin,06041,13.0,2003
195,mariposa,06043,2.0,2003
196,mendocino,06045,30.0,2003
197,merced,06047,51.0,2003
198,modoc,06049,3.0,2003
199,mono,06051,8.0,2003
200,monterey,06053,59.0,2003
201,napa,06055,20.0,2003
202,nevada,06057,14.0,2003
203,orange,06059,214.0,2003
204,placer,06061,40.0,2003
205,plumas,06063,7.0,2003
206,riverside,06065,300.0,2003
207,sacramento,06067,149.0,2003
208,san benito,06069,10.0,2003
209,san bernardino,06071,353.0,2003
210,san diego,06073,288.0,2003
211,san francisco,06075,51.0,2003
212,san joaquin,06077,97.0,2003
213,san luis obispo,06079,33.0,2003
214,san mateo,06081,36.0,2003
215,santa barbara,06083,38.0,2003
216,santa clara,06085,93.0,2003
217,santa cruz,06087,23.0,2003
218,shasta,06089,32.0,2003
219,sierra,06091,3.0,2003
220,siskiyou,06093,12.0,2003
221,solano,06095,56.0,2003
222,sonoma,06097,56.0,2003
223,stanislaus,06099,90.0,2003
224,sutter,06101,16.0,2003
225,tehama,06103,16.0,2003
226,trinity,06105,5.0,2003
227,tulare,06107,98.0,2003
228,tuolumne,06109,33.0,2003
229,ventura,06111,78.0,2003
230,yolo,06113,25.0,2003
231,yuba,06115,21.0,2003
232,alameda,06001,102.0,2004
233,alpine,06003,1.0,2004
234,amador,06005,12.0,2004
235,butte,06007,33.0,2004
236,calaveras,06009,18.0,2004
237,colusa,06011,11.0,2004
238,contra costa,06013,67.0,2004
239,del norte,06015,10.0,2004
240,el dorado,06017,26.0,2004
241,fresno,06019,147.0,2004
242,glenn,06021,11.0,2004
243,humboldt,06023,20.0,2004
244,imperial,06025,56.0,2004
245,inyo,06027,7.0,2004
246,kern,06029,141.0,2004
247,kings,06031,37.0,2004
248,lake,06033,16.0,2004
249,lassen,06035,18.0,2004
250,los angeles,06037,745.0,2004
251,madera,06039,43.0,2004
252,marin,06041,10.0,2004
253,mariposa,06043,7.0,2004
254,mendocino,06045,15.0,2004
255,merced,06047,61.0,2004
256,modoc,06049,3.0,2004
257,mono,06051,6.0,2004
258,monterey,06053,87.0,2004
259,napa,06055,25.0,2004
260,nevada,06057,16.0,2004
261,orange,06059,215.0,2004
262,placer,06061,34.0,2004
263,plumas,06063,5.0,2004
264,riverside,06065,315.0,2004
265,sacramento,06067,129.0,2004
266,san benito,06069,10.0,2004
267,san bernardino,06071,402.0,2004
268,san diego,06073,291.0,2004
269,san francisco,06075,42.0,2004
270,san joaquin,06077,124.0,2004
271,san luis obispo,06079,44.0,2004
272,san mateo,06081,40.0,2004
273,santa barbara,06083,36.0,2004
274,santa clara,06085,88.0,2004
275,santa cruz,06087,17.0,2004
276,shasta,06089,35.0,2004
277,sierra,06091,3.0,2004
278,siskiyou,06093,11.0,2004
279,solano,06095,47.0,2004
280,sonoma,06097,49.0,2004
281,stanislaus,06099,79.0,2004
282,sutter,06101,19.0,2004
283,tehama,06103,22.0,2004
284,trinity,06105,9.0,2004
285,tulare,06107,97.0,2004
286,tuolumne,06109,15.0,2004
287,ventura,06111,70.0,2004
288,yolo,06113,29.0,2004
289,yuba,06115,12.0,2004
290,alameda,06001,101.0,2005
291,alpine,06003,2.0,2005
292,amador,06005,17.0,2005
293,butte,06007,37.0,2005
294,calaveras,06009,11.0,2005
295,colusa,06011,10.0,2005
296,contra costa,06013,76.0,2005
297,del norte,06015,10.0,2005
298,el dorado,06017,23.0,2005
299,fresno,06019,164.0,2005
300,glenn,06021,7.0,2005
301,humboldt,06023,19.0,2005
302,imperial,06025,45.0,2005
303,inyo,06027,11.0,2005
304,kern,06029,176.0,2005
305,kings,06031,47.0,2005
306,lake,06033,13.0,2005
307,lassen,06035,14.0,2005
308,los angeles,06037,737.0,2005
309,madera,06039,38.0,2005
310,marin,06041,10.0,2005
311,mariposa,06043,5.0,2005
312,mendocino,06045,36.0,2005
313,merced,06047,68.0,2005
314,modoc,06049,1.0,2005
315,mono,06051,4.0,2005
316,monterey,06053,54.0,2005
317,napa,06055,23.0,2005
318,nevada,06057,18.0,2005
319,orange,06059,204.0,2005
320,placer,06061,46.0,2005
321,plumas,06063,12.0,2005
322,riverside,06065,330.0,2005
323,sacramento,06067,157.0,2005
324,san benito,06069,11.0,2005
325,san bernardino,06071,419.0,2005
326,san diego,06073,304.0,2005
327,san francisco,06075,34.0,2005
328,san joaquin,06077,118.0,2005
329,san luis obispo,06079,54.0,2005
330,san mateo,06081,39.0,2005
331,santa barbara,06083,69.0,2005
332,santa clara,06085,106.0,2005
333,santa cruz,06087,23.0,2005
334,shasta,06089,38.0,2005
335,sierra,06091,5.0,2005
336,siskiyou,06093,7.0,2005
337,solano,06095,46.0,2005
338,sonoma,06097,59.0,2005
339,stanislaus,06099,95.0,2005
340,sutter,06101,23.0,2005
341,tehama,06103,13.0,2005
342,trinity,06105,5.0,2005
343,tulare,06107,113.0,2005
344,tuolumne,06109,25.0,2005
345,ventura,06111,71.0,2005
346,yolo,06113,24.0,2005
347,yuba,06115,20.0,2005
348,alameda,06001,92.0,2006
349,alpine,06003,4.0,2006
350,amador,06005,11.0,2006
351,butte,06007,34.0,2006
352,calaveras,06009,7.0,2006
353,colusa,06011,6.0,2006
354,contra costa,06013,84.0,2006
355,del norte,06015,12.0,2006
356,el dorado,06017,33.0,2006
357,fresno,06019,144.0,2006
358,glenn,06021,7.0,2006
359,humboldt,06023,19.0,2006
360,imperial,06025,40.0,2006
361,inyo,06027,15.0,2006
362,kern,06029,190.0,2006
363,kings,06031,40.0,2006
364,lake,06033,18.0,2006
365,lassen,06035,8.0,2006
366,los angeles,06037,756.0,2006
367,madera,06039,48.0,2006
368,marin,06041,8.0,2006
369,mariposa,06043,5.0,2006
370,mendocino,06045,13.0,2006
371,merced,06047,55.0,2006
372,modoc,06049,7.0,2006
373,mono,06051,3.0,2006
374,monterey,06053,43.0,2006
375,napa,06055,12.0,2006
376,nevada,06057,21.0,2006
377,orange,06059,195.0,2006
378,placer,06061,36.0,2006
379,plumas,06063,5.0,2006
380,riverside,06065,330.0,2006
381,sacramento,06067,119.0,2006
382,san benito,06069,6.0,2006
383,san bernardino,06071,375.0,2006
384,san diego,06073,281.0,2006
385,san francisco,06075,35.0,2006
386,san joaquin,06077,113.0,2006
387,san luis obispo,06079,38.0,2006
388,san mateo,06081,40.0,2006
389,santa barbara,06083,43.0,2006
390,santa clara,06085,90.0,2006
391,santa cruz,06087,21.0,2006
392,shasta,06089,20.0,2006
393,sierra,06091,3.0,2006
394,siskiyou,06093,14.0,2006
395,solano,06095,41.0,2006
396,sonoma,06097,52.0,2006
397,stanislaus,06099,76.0,2006
398,sutter,06101,17.0,2006
399,tehama,06103,22.0,2006
400,trinity,06105,4.0,2006
401,tulare,06107,87.0,2006
402,tuolumne,06109,14.0,2006
403,ventura,06111,82.0,2006
404,yolo,06113,23.0,2006
405,yuba,06115,15.0,2006
406,alameda,06001,104.0,2007
407,alpine,06003,2.0,2007
408,amador,06005,14.0,2007
409,butte,06007,36.0,2007
410,calaveras,06009,16.0,2007
411,colusa,06011,11.0,2007
412,contra costa,06013,70.0,2007
413,del norte,06015,10.0,2007
414,el dorado,06017,31.0,2007
415,fresno,06019,155.0,2007
416,glenn,06021,14.0,2007
417,humboldt,06023,24.0,2007
418,imperial,06025,42.0,2007
419,inyo,06027,9.0,2007
420,kern,06029,149.0,2007
421,kings,06031,32.0,2007
422,lake,06033,17.0,2007
423,lassen,06035,6.0,2007
424,los angeles,06037,755.0,2007
425,madera,06039,45.0,2007
426,marin,06041,11.0,2007
427,mariposa,06043,6.0,2007
428,mendocino,06045,16.0,2007
429,merced,06047,47.0,2007
430,modoc,06049,1.0,2007
431,mono,06051,2.0,2007
432,monterey,06053,45.0,2007
433,napa,06055,15.0,2007
434,nevada,06057,12.0,2007
435,orange,06059,192.0,2007
436,placer,06061,26.0,2007
437,plumas,06063,5.0,2007
438,riverside,06065,313.0,2007
439,sacramento,06067,140.0,2007
440,san benito,06069,6.0,2007
441,san bernardino,06071,351.0,2007
442,san diego,06073,293.0,2007
443,san francisco,06075,52.0,2007
444,san joaquin,06077,105.0,2007
445,san luis obispo,06079,52.0,2007
446,san mateo,06081,27.0,2007
447,santa barbara,06083,48.0,2007
448,santa clara,06085,100.0,2007
