,collision_day,killed_victims,year_option
0,Mon,8979.0,all
1,Tues,8743.0,all
2,Weds,8511.0,all
3,Thurs,9149.0,all
4,Fri,11097.0,all
5,Sat,12954.0,all
6,Sun,12355.0,all
7,Mon,520.0,2001
8,Tues,496.0,2001
9,Weds,488.0,2001
10,Thurs,475.0,2001
11,Fri,574.0,2001
12,Sat,653.0,2001
13,Sun,660.0,2001
14,Mon,516.0,2002
15,Tues,489.0,2002
16,Weds,465.0,2002
17,Thurs,451.0,2002
18,Fri,630.0,2002
19,Sat,755.0,2002
20,Sun,733.0,2002
21,Mon,526.0,2003
22,Tues,490.0,2003
23,Weds,504.0,2003
24,Thurs,503.0,2003
25,Fri,604.0,2003
26,Sat,772.0,2003
27,Sun,766.0,2003
28,Mon,482.0,2004
29,Tues,461.0,2004
30,Weds,462.0,2004
31,Thurs,579.0,2004
32,Fri,630.0,2004
33,Sat,742.0,2004
34,Sun,684.0,2004
35,Mon,484.0,2005
36,Tues,503.0,2005
37,Weds,496.0,2005
38,Thurs,518.0,2005
39,Fri,675.0,2005
40,Sat,820.0,2005
41,Sun,751.0,2005
42,Mon,463.0,2006
43,Tues,478.0,2006
44,Weds,476.0,2006
45,Thurs,466.0,2006
46,Fri,592.0,2006
47,Sat,742.0,2006
48,Sun,715.0,2006
49,Mon,492.0,2007
50,Tues,476.0,2007
51,Weds,434.0,2007
52,Thurs,491.0,2007
53,Fri,606.0,2007
54,Sat,731.0,2007
55,Sun,674.0,2007
56,Mon,381.0,2008
57,Tues,421.0,2008
58,Weds,356.0,2008
59,Thurs,383.0,2008
60,Fri,565.0,2008
61,Sat,643.0,2008
62,Sun,601.0,2008
63,Mon,379.0,2009
64,Tues,365.0,2009
65,Weds,353.0,2009
66,Thurs,410.0,2009
67,Fri,450.0,2009
68,Sat,569.0,2009
69,Sun,511.0,2009
70,Mon,293.0,2010
71,Tues,329.0,2010
72,Weds,320.0,2010
73,Thurs,368.0,2010
74,Fri,422.0,2010
75,Sat,478.0,2010
76,Sun,486.0,2010
77,Mon,408.0,2011
78,Tues,319.0,2011
79,Weds,322.0,2011
80,Thurs,341.0,2011
81,Fri,409.0,2011
82,Sat,509.0,2011
83,Sun,478.0,2011
84,Mon,377.0,2012
85,Tues,336.0,2012
86,Weds,368.0,2012
87,Thurs,368.0,2012
88,Fri,457.0,2012
89,Sat,530.0,2012
90,Sun,507.0,2012
91,Mon,404.0,2013
92,Tues,388.0,2013
93,Weds,343.0,2013
94,Thurs,371.0,2013
95,Fri,433.0,2013
96,Sat,580.0,2013
97,Sun,534.0,2013
98,Mon,370.0,2014
99,Tues,371.0,2014
100,Weds,347.0,2014
101,Thurs,407.0,2014
102,Fri,503.0,2014
103,Sat,569.0,2014
104,Sun,497.0,2014
105,Mon,424.0,2015
106,Tues,418.0,2015
107,Weds,421.0,2015
108,Thurs,459.0,2015
109,Fri,514.0,2015
110,Sat,574.0,2015
111,Sun,565.0,2015
112,Mon,477.0,2016
113,Tues,452.0,2016
114,Weds,452.0,2016
115,Thurs,482.0,2016
116,Fri,582.0,2016
117,Sat,715.0,2016
118,Sun,624.0,2016
119,Mon,491.0,2017
120,Tues,478.0,2017
121,Weds,489.0,2017
122,Thurs,501.0,2017
123,Fri,586.0,2017
124,Sat,639.0,2017
125,Sun,639.0,2017
126,Mon,480.0,2018
127,Tues,478.0,2018
128,Weds,430.0,2018
129,Thurs,485.0,2018
130,Fri,608.0,2018
131,Sat,621.0,2018
132,Sun,632.0,2018
133,Mon,483.0,2019
134,Tues,446.0,2019
135,Weds,482.0,2019
136,Thurs,485.0,2019
137,Fri,584.0,2019
138,Sat,599.0,2019
139,Sun,581.0,2019
140,Mon,443.0,2020
141,Tues,473.0,2020
142,Weds,427.0,2020
143,Thurs,498.0,2020
144,Fri,565.0,2020
145,Sat,605.0,2020
146,Sun,618.0,2020
147,Mon,86.0,2021
148,Tues,76.0,2021
149,Weds,76.0,2021
150,Thurs,108.0,2021
151,Fri,108.0,2021
152,Sat,108.0,2021
153,Sun,99.0,2021
